accession,superkingdom,phylum,class,order,family,genus,species
GCA_000220355,d__Archaea,p__Nanohaloarchaeota,c__Nanosalinia,o__Nanosalinales,f__Nanosalinaceae,g__Nanosalinarum,s__Nanosalinarum sp000220355
GCA_000372225,d__Bacteria,p__Nitrospinota,c__Nitrospinia,o__Nitrospinales,f__Nitrospinaceae,g__SCGCAAA288-L16,s__SCGCAAA288-L16 sp000372225
GCA_000375825,d__Bacteria,p__Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__UBA8229,g__AB-629-J13,s__AB-629-J13 sp000375825
GCA_000432335,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Ruminococcus_A,s__Ruminococcus_A sp000432335
GCA_000432355,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eubacterium_G,s__Eubacterium_G sp000432355
GCA_000433115,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__CAG-382,g__UBA1206,s__UBA1206 sp000433115
GCA_000526155,d__Bacteria,p__Deferrisomatota,c__Defferisomatia,o__Defferisomatales,f__Defferisomataceae,g__Deferrisoma,s__Deferrisoma camini
GCA_000715825,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Pseudonocardiaceae,g__Goodfellowiella,s__Goodfellowiella coeruleoviolacea
GCA_000737335,d__Bacteria,p__Myxococcota,c__Polyangia,o__Nannocystales,f__Nannocystaceae,g__Enhygromyxa,s__Enhygromyxa salina_C
GCA_000739515,d__Bacteria,p__Moduliflexota,c__Moduliflexia,o__Moduliflexales,f__Moduliflexaceae,g__Moduliflexus,s__Moduliflexus flocculans
GCA_000767215,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Cellulomonadaceae,g__Actinotalea,s__Actinotalea fermentans
GCA_000961585,d__Bacteria,p__Firmicutes_B,c__Desulfotomaculia,o__Desulfotomaculales,f__Desulfocucumaceae,g__BRHc4a,s__BRHc4a sp000961585
GCA_001304215,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Acidiferrobacterales,f__Sulfurifustaceae,g__SM1-46,s__SM1-46 sp001304215
GCA_001399795,d__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__B26-1,f__BA1,g__BA2,s__BA2 sp001399795
GCA_001483205,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__3107,s__3107 sp001483205
GCA_001512835,d__Bacteria,p__Firmicutes_D,c__Dethiobacteria,o__DTU022,f__DTU022,g__DTU022,s__DTU022 sp001512835
GCA_001515185,d__Archaea,p__Hadarchaeota,c__Hadarchaeia,o__Hadarchaeales,f__Hadarchaeaceae,g__DG-33,s__DG-33 sp001515185
