genomefile,brieftax,f_major,f_ident,f_removed,n_reason_1,n_reason_2,n_reason_3,refsize,ratio,clean_bp,clean_n,dirty_n,dirty_bp,missed_n,missed_bp,taxguessed,taxprovided,comment
ERR1953518_bin.102.fa.gz,genus g__Oscillibacter,0.9093766369827134,0.7914593698175788,0.09218450032599834,0,7,18,3093000,0.7,2156769,212,25,219010,2,5214,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp900066435,,
ERR1953518_bin.104.fa.gz,genus g__Acetatifactor,0.9265536723163842,0.5715823466092572,0.07523276708709842,0,3,4,2425000,1.07,2587569,82,7,210507,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003447295,,
ERR1953518_bin.105.fa.gz,genus g__Lachnospira,0.984323971260614,0.7307875894988067,0.00237493439506871,0,0,1,2795000,0.75,2085199,17,1,4964,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens,,
ERR1953518_bin.110.fa.gz,genus g__Blautia_A,0.9813333333333333,0.7214313197383609,0.029690143215388293,0,1,2,3684000,0.66,2444620,77,3,74802,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A massiliensis,,
ERR1953518_bin.116.fa.gz,genus g__Bacteroides,0.9932497589199615,0.7946360153256705,0.004161440842468924,0,1,1,5191000,1.01,5250751,48,2,21942,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,,
ERR1953518_bin.122.fa.gz,genus g__Roseburia,0.9632465543644717,0.6560616208975217,0.0009633116528425683,0,1,0,3502000,0.87,3063551,57,1,2954,1,2851,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis,,
ERR1953518_bin.127.fa.gz,genus g__CAG-145,0.9878048780487805,0.9618768328445748,0.007480213488710177,0,0,1,2085000,0.82,1713640,200,1,12915,1,2737,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-145;s__CAG-145 sp000435715,,
ERR1953518_bin.12.fa.gz,genus g__CAG-56,0.9396170839469808,0.7380434782608696,0.03424876873862283,0,4,5,3427000,0.5,1700883,45,9,60319,1,2225,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__CAG-56 sp900066615,,
ERR1953518_bin.131.fa.gz,genus g__Agathobacter,0.9529616724738676,0.694074969770254,0.024683584308791615,0,0,2,3318000,0.49,1620181,39,2,41004,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale,,
ERR1953518_bin.132.fa.gz,genus g__Barnesiella,0.9747081712062257,0.6547770700636942,0.005377310540870535,0,0,1,3438000,0.91,3142767,39,1,16991,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis,,
ERR1953518_bin.135.fa.gz,,0.3806818181818182,0.06606606606606606,,,,,,,,,,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95,,too few identifiable hashes; < 10%. provide a lineage for this genome.
ERR1953518_bin.136.fa.gz,genus g__Ruminococcus_A,0.9820359281437125,0.6648089171974523,0.0046445452955006065,0,1,0,3468000,0.36,1245977,50,1,5814,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_A;s__Ruminococcus_A sp003011855,,
ERR1953518_bin.138.fa.gz,genus g__ER4,0.9141886151231946,0.5628885700621712,0.0,0,0,0,2670000,0.8,2127351,45,0,0,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,,
