genomefile,brieftax,f_major,f_ident,f_removed,n_reason_1,n_reason_2,n_reason_3,refsize,ratio,clean_bp,clean_n,dirty_n,dirty_bp,missed_n,missed_bp,taxguessed,taxprovided,comment
ERS235530_10.fna.gz,genus g__CAG-1024,0.4759972954699121,0.41146195576575323,0.40384754897632363,56,220,190,1988000,2.17,4314183,542,466,2922528,46,115204,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__CAG-1024;s__CAG-1024 sp000432015,,
ERS235531_43.fna.gz,genus g__Faecalibacterium,0.4567901234567901,0.25478374836173,0.31904859275693015,18,38,57,2863000,0.91,2594209,235,113,1215474,5,15138,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_F,,
ERS235603_16.fna.gz,genus g__Agathobacter,0.8718778908418131,0.6708035991312442,0.11597433665158316,38,18,31,3318000,0.88,2907190,122,87,381391,25,38222,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale,,
ERS396297_11.fna.gz,genus g__Lachnospira,0.61017912994029,0.6187543983110485,0.3667856100556037,63,123,202,2579000,1.41,3636416,385,388,2106372,14,36152,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_B,,
ERS396519_11.fna.gz,genus g__Lawsonibacter,0.674964639321075,0.5393652731156545,0.40182239326322927,85,172,135,3908000,1.04,4064301,552,392,2730171,16,41258,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus,,
ERS473255_26.fna.gz,genus g__Faecalibacterium,0.8499452354874042,0.589602841459477,0.17907353434119527,19,6,21,2735000,0.94,2569059,119,46,560404,8,22055,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G,,
ERS537218_9.fna.gz,genus g__Gemmiger,0.9222103004291845,0.48066013408973696,0.09137228981781027,4,20,12,2163000,1.66,3596214,632,36,361638,25,51527,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825,,
ERS537235_19.fna.gz,genus g__Bacteroides_B,0.8226158038147139,0.733559864081551,0.22577108884459288,20,84,66,4465000,0.86,3832845,272,170,1117687,52,85529,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B massiliensis,,
ERS537328_30.fna.gz,genus g__Faecalibacterium,0.7439024390243902,0.4013284390840762,0.32885660821340745,9,87,70,2881000,1.34,3872092,348,166,1897304,7,26868,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_K,,
ERS537353_12.fna.gz,genus g__Flavonifractor,0.8655804480651731,0.7107113316790736,0.25254695514505127,24,41,63,4591000,0.81,3740119,231,128,1263699,10,23730,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp000508885,,
ERS608524_37.fna.gz,genus g__Gemmiger,0.7727727727727728,0.4618585298196949,0.24550123155191042,17,52,54,3125000,1.09,3407201,239,123,1108646,8,17246,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,,
ERS608576_22.fna.gz,genus g__Ruminococcus_E,0.682106289614822,0.5559772296015181,0.2329977779853081,54,46,87,2415000,1.2,2899194,149,187,880709,33,53647,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B,,
GCF_000371685.1_Clos_bolt_90B3_V1_genomic.fna.gz,genus g__Clostridium_M,0.9357601713062098,0.5195486331849968,0.0,0,0,0,6376000,1.03,6538460,4,0,0,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M bolteae,,
GCF_000508885.1_ASM50888v1_genomic.fna.gz,genus g__Flavonifractor,1.0,1.0,0.0,0,0,0,4591000,1.0,4569182,907,0,0,180,184143,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp000508885,,
GCF_001405615.1_13414_6_47_genomic.fna.gz,genus g__Agathobacter,1.0,1.0,0.0,0,0,0,3622000,0.99,3567818,39,0,0,2,1103,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis,,
GCF_900036035.1_RGNV35913_genomic.fna.gz,genus g__Faecalicatena,0.8738916256157635,0.7925559604372723,0.11345414777770585,11,7,17,3626000,0.91,3313974,206,35,424100,82,56387,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena gnavus,,
