genomefile,clean_n,clean_bp,dirty_n,dirty_bp,missed_n,missed_bp,f_major,n_reason_1,n_reason_2,n_reason_3
ibd-genomes-2/ERS235530_10.fna.gz,541,4311361,467,2925350,46,115204,0.4759972954699121,6,23,438
ibd-genomes-2/ERS235531_43.fna.gz,233,2559991,115,1249692,5,15138,0.4567901234567901,9,1,105
ibd-genomes-2/ERS235603_16.fna.gz,122,2907190,87,381391,25,38222,0.8718778908418131,18,5,64
ibd-genomes-2/ERS396297_11.fna.gz,385,3636416,388,2106372,14,36152,0.61017912994029,18,13,357
ibd-genomes-2/ERS396519_11.fna.gz,552,4064301,392,2730171,16,41258,0.674964639321075,65,19,308
ibd-genomes-2/ERS473255_26.fna.gz,119,2569059,46,560404,8,22055,0.8499452354874042,10,2,34
ibd-genomes-2/ERS537218_9.fna.gz,630,3588723,38,369129,25,51527,0.9222103004291845,3,0,35
ibd-genomes-2/ERS537235_19.fna.gz,272,3832845,170,1117687,52,85529,0.8226158038147139,10,21,139
ibd-genomes-2/ERS537328_30.fna.gz,348,3872092,166,1897304,7,26868,0.7439024390243902,0,3,163
ibd-genomes-2/ERS537353_12.fna.gz,231,3740119,128,1263699,10,23730,0.8655804480651731,17,5,106
ibd-genomes-2/ERS608524_37.fna.gz,238,3399545,124,1116302,8,17246,0.7727727727727728,4,6,114
ibd-genomes-2/ERS608576_22.fna.gz,149,2899194,187,880709,33,53647,0.682106289614822,28,14,145
ibd-genomes-2/GCF_000371685.1_Clos_bolt_90B3_V1_genomic.fna.gz,4,6538460,0,0,0,0,0.9357601713062098,0,0,0
ibd-genomes-2/GCF_000508885.1_ASM50888v1_genomic.fna.gz,907,4569182,0,0,180,184143,1.0,0,0,0
ibd-genomes-2/GCF_001405615.1_13414_6_47_genomic.fna.gz,39,3567818,0,0,2,1103,1.0,0,0,0
ibd-genomes-2/GCF_900036035.1_RGNV35913_genomic.fna.gz,205,3307939,36,430135,82,56387,0.8738916256157635,11,3,22
ibd-genomes-2/LeChatelierE_2013__MH0074__bin.19.fa.gz,247,2637896,179,1106687,21,54563,0.7185534591194969,8,6,165
ibd-genomes-2/LiJ_2014__O2.UC28-1__bin.61.fa.gz,42,2583869,1,2159,0,0,0.9368246051537822,0,0,1
ibd-genomes-2/LiSS_2016__FAT_DON_8-22-0-0__bin.28.fa.gz,154,3027906,41,500503,6,17620,0.7509433962264151,2,1,38
ibd-genomes-2/LoombaR_2017__SID1050_bax__bin.11.fa.gz,50,2620707,10,119571,0,0,0.9527220630372493,2,1,7
ibd-genomes-2/NielsenHB_2014__MH0094__bin.44.fa.gz,67,3102393,0,0,0,0,0.9870218579234973,0,0,0
ibd-genomes-2/QinJ_2012__CON-091__bin.20.fa.gz,139,2364497,3,16053,2,8990,0.9872509960159362,1,0,2
ibd-genomes-2/SRR4305229_bin.5.fa.gz,185,3537694,150,1325424,6,19861,0.7199275362318841,15,4,131
ibd-genomes-2/SRR5127401_bin.3.fa.gz,198,2457703,192,1123429,10,25190,0.6466268930702157,7,11,174
ibd-genomes-2/SRR5558047_bin.10.fa.gz,93,2682887,1,21600,1,4108,0.9750435287289612,0,0,1
ibd-genomes-2/SRR6028281_bin.3.fa.gz,324,2550621,16,251330,6,18176,0.9440758293838862,4,1,11
ibd-genomes-2/SRS075078_49.fna.gz,193,2657155,123,719538,18,34419,0.8084249084249084,10,13,100
ibd-genomes-2/SRS103987_37.fna.gz,94,2048452,1,6425,1,2977,0.9590163934426229,0,0,1
ibd-genomes-2/SRS104400_110.fna.gz,322,3911598,406,4167785,5,13014,0.3880721220527046,4,6,396
ibd-genomes-2/SRS143598_15.fna.gz,355,4492819,529,3573916,34,89755,0.519270192701927,17,29,483
ibd-genomes-2/SRS1719112_8.fna.gz,292,3000128,71,967254,4,13715,0.8125490196078431,4,4,63
ibd-genomes-2/SRS1719498_9.fna.gz,322,3451092,253,1925661,13,37020,0.7037239868565169,24,11,218
ibd-genomes-2/SRS1719577_6.fna.gz,155,2865421,33,202024,14,25047,0.9464378575143005,8,3,22
ibd-genomes-2/SRS1735506_4.fna.gz,188,6222496,82,373498,16,22613,0.9515428571428571,14,17,51
ibd-genomes-2/SRS1735645_19.fna.gz,310,3248559,191,1180961,17,34205,0.7941558441558442,42,11,138
ibd-genomes-2/SRS294916_20.fna.gz,258,2953825,5,62525,9,15200,0.9919431279620853,0,0,5
ibd-genomes-2/SRS476209_42.fna.gz,87,2702116,61,627793,3,7885,0.7779448621553885,3,2,56
ibd-genomes-2/VatanenT_2016__G80445__bin.9.fa.gz,61,2578034,2,44822,0,0,0.9819767441860465,1,1,0
ibd-genomes-2/VogtmannE_2016__MMRS43563715ST-27-0-0__bin.70.fa.gz,188,2780749,3,19429,3,7160,0.9930907415937356,0,0,3
ibd-genomes-2/XieH_2016__YSZC12003_37172__bin.63.fa.gz,91,2343469,0,0,0,0,0.9828722002635046,0,0,0
ibd-genomes-2/ZeeviD_2015__PNP_Main_232__bin.27.fa.gz,327,3316790,68,299060,12,26035,0.951744937526928,28,6,34
