genomefile,brieftax,f_major,f_ident,f_removed,n_reason_1,n_reason_2,n_reason_3,refsize,ratio,clean_bp,clean_n,dirty_n,dirty_bp,missed_n,missed_bp,taxguessed,taxprovided,comment
TARA_ANE_MAG_00001.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00002.fa,genus g__TMED2,1.0,0.9961464354527938,0.0,0,0,0,3325000,0.94,3133556,10,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__TMED2;g__TMED2;s__TMED2 sp002168225,,
TARA_ANE_MAG_00003.fa,genus g__GCA-2699365,1.0,0.8685208596713021,0.0,0,0,0,1702000,0.94,1602643,140,0,0,0,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2699365;s__GCA-2699365 sp002699365,,
TARA_ANE_MAG_00004.fa,genus g__UBA1275,1.0,0.6778021978021977,0.0,0,0,0,1506000,1.53,2301261,65,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515,,
TARA_ANE_MAG_00005.fa,genus g__UBA2589,1.0,0.8858202802967848,0.0,0,0,0,2360000,1.02,2402163,115,0,0,1,2592,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA2589;s__UBA2589 sp002500925,,
TARA_ANE_MAG_00006.fa,genus g__UBA11869,0.9990557129367328,0.7553495007132668,0.013624351158701581,0,1,0,1298000,1.08,1405245,68,1,19410,1,2648,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA11869;s__UBA11869 sp002692205,,
TARA_ANE_MAG_00007.fa,genus g__Microbacterium,0.998351195383347,0.9778315195485692,0.0011247785362522575,0,0,1,3203000,0.76,2445728,281,1,2754,5,17119,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp002313585,,
TARA_ANE_MAG_00008.fa,genus g__UBA9664,1.0,0.9778660612939841,0.0,0,0,0,1963000,0.87,1713062,85,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA9664;s__UBA9664 sp002699085,,
TARA_ANE_MAG_00009.fa,genus g__Martelella,0.876269621421976,0.4180660104226983,0.06971425619459164,8,14,6,5470000,0.89,4862171,289,28,364364,2,6496,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Martelella;s__Martelella mediterranea,,
TARA_ANE_MAG_00010.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00011.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00012.fa,genus g__UBA1515,0.9839650145772595,0.6242038216560509,0.009535620530460759,0,1,1,809000,1.35,1094166,37,2,10534,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7916;f__UBA1515;g__UBA1515;s__UBA1515 sp002323935,,
TARA_ANE_MAG_00013.fa,genus g__UBA11663,0.9987212276214834,0.8032871083718541,0.0013848245691821112,0,1,0,1850000,1.1,2027049,252,1,2811,2,8285,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA11663;s__UBA11663 sp002469765,,
TARA_ANE_MAG_00014.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00015.fa,genus g__UBA2588,0.9949647532729103,0.7180043383947939,0.054119611843087716,7,0,1,1194000,1.16,1380817,110,8,79005,2,8878,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA2588;g__UBA2588;s__UBA2588 sp002339805,,
TARA_ANE_MAG_00016.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00017.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00018.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
